song_title,singer,film,year,emotion,keywords
It's The Time To Disco,Various,Kal Ho Naa Ho,2003,romantic,time celebrate love beautiful romance
Soni De Nakhre,Udit Narayan,Partner,2007,romantic,beauty quirks love beautiful attraction romance
Maahi Ve,Shreya Ghoshal,Highway,2014,romantic,beloved love beautiful longing pure
Pehli Baar Mohabbat,Mohit Chauhan,Kaminey,2009,romantic,first time love beautiful pure romance
Guzaarish,Sonu Nigam,Ghajini,2008,romantic,request love beautiful yearning romance
Main Se Maina,Sunidhi Chauhan,Dev D,2009,romantic,self love explore beautiful feelings
Aas Paas Hai Khuda,Atif Aslam,Anjaana Anjaani,2010,romantic,god nearby love beautiful pure romance
Tujhse Naraz Nahin Piya,Lata Mangeshkar,Masoom,1983,romantic,not angry love gentle beautiful romance
Kaash Aisa Hota,Udit Narayan,Dum,2003,romantic,wish if only love beautiful romance
Khuda Jaane,KK,Bachna Ae Haseeno,2008,romantic,god knows love beautiful pure romance
Ik Baar,Shafqat Amanat Ali,Race 3,2018,romantic,once love beautiful reunion romance
Ae Mere Humsafar,Udit Narayan,Baazigar,1993,romantic,companion love beautiful devotion romance
Meri Zindagi Mein,Udit Narayan,Duplicate,1998,romantic,my life love beautiful feelings romance
Meri Marzi,Sunidhi Chauhan,Meri Marzi,2001,romantic,my will love bold beautiful romance
Aaj Mausam Bada Beimaan Hai,Mohammad Rafi,Loafer,1973,romantic,weather deceitful love beautiful romance
Kya Hua Tera Wada Romantic,Mohammad Rafi,Hum Kisise Kum Nahin,1977,romantic,promise love beautiful feelings romance
Roop Suhana Lagta Hai,Udit Narayan,Gopi Kishan,1994,romantic,beautiful face love attraction romance
Tu Tu Hai Wahi,Asha Bhosle,Yeh Vaada Raha,1982,romantic,you are that one love beautiful romance
Woh Mera Dil,Kumar Sanu,Don,1995,romantic,my heart love beautiful devotion romance
Khilte Hain Gul Yahan,Kishore Kumar,Sharmilee,1971,romantic,flowers bloom love beautiful serene romance
Pukarta Chala Hoon Main,Mohammad Rafi,Meraa Saaya,1966,romantic,calling love yearning beautiful romance
Tum Bin Jaaon Kahan,Kishore Kumar,Pyar Ka Mausam,1969,romantic,without you where love beautiful devotion
Gaata Rahe Mera Dil Romantic,Kishore Kumar,Guide,1965,romantic,singing heart love beautiful serene romance
Dum Maaro Dum,Asha Bhosle,Hare Rama Hare Krishna,1971,happy,carefree free spirit energetic fun vibrant
Aao Huzoor,Asha Bhosle,Kismat,1968,happy,invitation love fun cheerful happy
Ek Chatur Naar,Kishore Kumar,Padosan,1968,happy,clever woman fun playful happy humor
Mere Saamne Wali Khidki Mein,Kishore Kumar,Padosan,1968,happy,window girl fun curious happy playful
Yeh Jo Mohabbat Hai,Kishore Kumar,Kati Patang,1971,happy,this love fun happy cheerful
O Haseena Zulfonwali,Mohammed Rafi,Teesri Manzil,1966,happy,beautiful girl fun happy attraction cheerful
Saamne Yeh Kaun Aaya,Kishore Kumar,Jawani Diwani,1972,happy,who came before fun happy surprise cheerful
Likhe Jo Khat Tujhe,Mohammad Rafi,Kanyadaan,1968,happy,letters fun love cheerful happy
Aaj Kal Tere Mere Pyaar Ke,Kishore Kumar,Brahmachari,1968,happy,love these days fun cheerful happy
Dost Dost Na Raha,Mohammad Rafi,Sangam,1964,happy,friend betrayal sad but defiant strong
Jawaan Hai Mohabbat,Kishore Kumar,Afsar,1950,happy,young love energetic cheerful happy
Akele Akele Kahan Ja Rahe Ho,Various,Jhuk Gaya Aasman,1968,happy,alone where going fun cheerful happy
Ek Do Teen,Alka Yagnik,Tezaab,1988,happy,counting dance fun energetic cheerful
My Name Is Lakhan,Mohammed Aziz,Ram Lakhan,1989,happy,name identity fun bold cheerful
Ole Ole Yeh Dillagi,Udit Narayan,Yeh Dillagi,1994,happy,fun cheerful upbeat happy playful
Saat Samundar,Udit Narayan,Vishwatma,1992,happy,seven seas fun dance energetic happy
Ruk Ruk Ruk,Various,Itihaas,1997,happy,stop fun playful cheerful happy
Dholi Taro,Falguni Pathak,Hum Dil De Chuke Sanam,1999,happy,folk dance fun energetic celebration happy
Aankh Marey Dekho,Alka Yagnik,Simmba,2018,happy,wink flirt fun cheerful happy
Didi Tera Devar Deewana,Kumar Sanu,Hum Aapke Hain Koun,1994,happy,sister brother devar fun wedding happy
Pehla Pehla Pyar,Udit Narayan,Hum Aapke Hain Koun,1994,happy,first love sweet cheerful happy
Lo Chali Main,Kavita Krishnamurthy,Hum Aapke Hain Koun,1994,happy,going wedding fun cheerful happy
Dholida,Shreya Ghoshal,Gangubai Kathiawadi,2022,happy,folk dance energetic fun celebration happy
Kesariya Holi,Various,Album,2022,happy,festival colors dance fun celebration happy
Bheegi Bheegi Raaton Mein,Various,Ajnabee,1974,happy,rainy nights fun playful cheerful
Patt Lainge,Various,Happy Bhag Jayegi,2016,happy,fun playful cheerful energetic happy
Manwa Laage Ha,Shreya Ghoshal,Happy New Year,2014,happy,heart wish new year fun celebration happy
Tumhari Kasam,Udit Narayan,Tumhari Kasam,2003,happy,your promise fun love cheerful happy
Sau Dard Hain,Udit Narayan,Kuch Naa Kaho,2003,sad,hundred pains heartbreak sad longing
Yeh Dil Tumhara Tha,Udit Narayan,Dil Ka Kya Kasoor,1992,sad,heart yours love pain sad
Bahut Pyaar Karte Hain,Kumar Sanu,Saajan,1991,sad,love you very much sad longing heartbreak
Jadu Teri Nazar Sad,Udit Narayan,Darr,1993,sad,magic gaze fear love pain
Mera Dil Bhi Kitna Pagal Hai,Kumar Sanu,Saajan,1991,sad,heart crazy love pain sad
Hum Aapke Hain Koun Sad,Various,Hum Aapke Hain Koun,1994,sad,family duty love loss sad
Kuch Na Kaho Sad,Kumar Sanu,1942 A Love Story,1994,sad,silence love pain heartbreak sad
Yaad Piya Ki Aaye,Falguni Pathak,Album,1999,sad,memory beloved coming sad longing
Woh Beete Din,Rahat Fateh Ali Khan,Album,2010,sad,those days passed memories sad nostalgic
Aata Majhi Satakli Sad,Various,Singham Returns,2014,sad,lost longing pain heartbreak sad
Teri Aankhon Mein Sad,Darshan Raval,Sanam Teri Kasam,2016,sad,eyes love pain sad heartbreak
Sanam Teri Kasam,Himesh Reshammiya,Sanam Teri Kasam,2016,sad,promise love death sad heartbreak
Khuda Jaane Sad,KK,Bachna Ae Haseeno,2008,sad,god knows love pain sad heartbreak
Jaane Kyun Sad,Shankar Mahadevan,Dil Chahta Hai,2001,sad,why loss friendship sad nostalgic
Aankhon Mein Teri,KK,Om Shanti Om,2007,sad,eyes love pain heartbreak sad longing
Mora Piya,Rahat Fateh Ali Khan,Raajneeti,2010,sad,my beloved gone sad longing heartbreak
Yeh Dooriyan,Mohit Chauhan,Love Aaj Kal,2009,sad,distances separation love sad pain
Alvida Sad,KK,Life In A Metro,2007,sad,goodbye separation farewell sad loss
Jab Koi Baat Bigad Jaye Sad,Various,Jurm,1989,sad,when something goes wrong sad pain
Dil Ka Dariya,Various,Badlapur,2015,sad,river heart flowing pain sad
Guzaarish Sad,Sonu Nigam,Ghajini,2008,sad,request love pain heartbreak sad
Tere Ishq Mein,Atif Aslam,Goliyon Ki Raasleela,2013,sad,your love pain heartbreak sad
Tu Hi Hai,Arijit Singh,NH10,2015,sad,only you love pain sad heartbreak
Dilwale Sad,Arijit Singh,Dilwale,2015,sad,braveheart love pain sad heartbreak
Bhula Dena,Mustafa Zahid,Aashiqui 2,2013,sad,forget love pain sad heartbreak
Sun Saathiya,Divya Kumar,ABCD Any Body Can Dance 2,2015,happy,listen friend dance fun energetic happy
Shake It,Udit Narayan,Mujhse Shaadi Karogi,2004,happy,shake dance fun energetic happy
Deewana Hua Pagal,Udit Narayan,Kashmir Ki Kali,1964,happy,crazy love fun cheerful happy
Ek Main Aur Ek Tu,Shafqat Amanat Ali,Ek Main Aur Ekk Tu,2012,happy,one and one together fun cheerful happy
Aaja Meri Jaan,Alka Yagnik,Amaanat,1994,happy,come my love invitation fun cheerful happy
Chham Chham,Various,ABCD Any Body Can Dance 2,2015,happy,dance fun cheerful energetic happy
High Heels,Jaz Dhami,Ki & Ka,2016,happy,fashion fun confident cheerful happy energetic
Gallan Goodiyaan Reprise,Various,Dil Dhadakne Do,2015,happy,reprise celebration fun family happy
Ishq Chupta Nahin,Udit Narayan,Baazigar,1993,happy,love hidden reveal fun cheerful happy
Chhote Chhote Bhaiyon Ke,Kavita Krishnamurthy,Hum Saath Saath Hain,1999,happy,brothers family fun cheerful happy
Mujhe Neend Na Aaye,Udit Narayan,Dil,1990,happy,cannot sleep love fun cheerful happy
Woh Saat Din,Udit Narayan,Saat Din,1983,happy,seven days love fun cheerful happy
Tumse Milke Dilka Jo Haal,Various,Main Hoon Na,2004,happy,meeting heart state fun love happy
Aaj Main Upar,Alka Yagnik,Khamoshi,1996,happy,today I rise love joy cheerful
Radha Nachegi,Various,Student of the Year 2,2019,happy,Radha dance celebration energetic happy
Char Baj Gaye,Various,Go Goa Gone,2013,happy,four o clock fun night party happy
Muqabala,AR Rahman,Humse Hai Muqabala,1994,happy,competition dance fun energetic cheerful
Jaati Hoon Main,Various,Khiladiyon Ka Khiladi,1996,happy,going fun cheerful energetic happy
Tip Tip Barsa Paani,Udit Narayan,Mohra,1994,happy,rain drops fun dance romantic happy
Chura Ke Dil Mera,Kumar Sanu,Main Khiladi Tu Anadi,1994,happy,stolen heart love fun happy cheerful
Aisa Pehle Kahan Hua,Various,Udhaar Ki Zindagi,1994,happy,never happened before love fun happy
Kuch Kuch Hota Hai Happy,Udit Narayan,Kuch Kuch Hota Hai,1998,happy,something something happens love fun happy
Yeh Kaali Kaali Aankhen,Kumar Sanu,Baazigar,1993,happy,black eyes love attraction happy fun
Dil Dil Dil,Various,Jurm,1990,happy,heart love fun cheerful happy
Dilwalon Ki Dilli,Various,Various,2015,happy,Delhi people fun cheerful energetic
Chand Ne Kuch Kaha,Various,Dil To Pagal Hai,1997,happy,moon said love fun cheerful happy
Ghoomar,Shreya Ghoshal,Padmaavat,2018,happy,dance tradition celebration royal happy
Pinga,Shreya Ghoshal,Bajirao Mastani,2015,happy,dance fun traditional celebration happy
Malhari,Vishal Dadlani,Bajirao Mastani,2015,happy,war celebration victory energetic happy
Deewani Mastani,Shreya Ghoshal,Bajirao Mastani,2015,happy,crazy in love dance celebration happy
Mohe Rang Do Laal,Shreya Ghoshal,Bajirao Mastani,2015,happy,color me red love celebration happy
Teri Mitti Motivational,B Praak,Kesari,2019,motivational,soil nation sacrifice achieve rise
Azaadiyan,Altamash Faridi,Dil Dhadakne Do,2015,motivational,freedom achieve dream open sky
Ae Watan,Arijit Singh,Raazi,2018,motivational,nation love sacrifice achieve return
Dhal Jaun Main,Various,Airlift,2016,motivational,melt love sacrifice achieve strength
Sandese Aate Hain,Various,Border,1997,motivational,messages border nation sacrifice strength
Maa,Shankar Mahadevan,Taare Zameen Par,2007,motivational,mother love believe achieve rise
Taare Zameen Par,Shankar Mahadevan,Taare Zameen Par,2007,motivational,stars earth believe potential achieve
Give Me Some Sunshine,Swanand Kirkire,3 Idiots,2009,motivational,sunshine hope dream achieve positive
Behti Hawa Sa Tha Woh,Sonu Nigam,3 Idiots,2009,motivational,breeze life dream achieve positive
All Izz Well,Aamir Khan,3 Idiots,2009,motivational,all is well positive achieve believe dream
Shubha Aahe,Various,Sairat,2016,motivational,auspicious morning hope dream achieve rise
Ae Dil Hai Mushkil Motivational,Arijit Singh,Ae Dil Hai Mushkil,2016,motivational,heart difficult love achieve strength
Tu Chahiye,Atif Aslam,Bajrangi Bhaijaan,2015,motivational,you needed love strength achieve connection
Bhar Do Jholi Meri,Adnan Sami,Bajrangi Bhaijaan,2015,motivational,fill my lap faith god achieve strength
Jag Ghumiya,Rahat Fateh Ali Khan,Sultan,2016,motivational,world roamed seen achieve experience rise
Kisi Ka Bhai Kisi Ki Jaan,Salman Khan,Kisi Ka Bhai Kisi Ki Jaan,2023,motivational,someone brother love achieve strength rise
Drishyam Theme,Various,Drishyam,2015,motivational,vision see achieve believe overcome
Kai Po Che,Various,Kai Po Che,2013,motivational,kite cutting win achieve victory celebration
Toote Tare,Various,Kai Po Che,2013,motivational,broken stars rise achieve dream believe
Bhag Bhaag,Various,Dhoom,2004,motivational,run fast achieve energy rise
Ab Hoga Dharna,Various,Rang De Basanti,2006,motivational,protest rights fight achieve rise
Luka Chuppi Motivational,Shreya Ghoshal,Rang De Basanti,2006,motivational,hide seek life discover achieve
Khoon Chala,Mohit Chauhan,Rang De Basanti,2006,motivational,blood flow nation sacrifice achieve
Roobaroo,KK,Rang De Basanti,2006,motivational,face to face life discover achieve rise
Dillagi,Udit Narayan,Dillagi,1994,happy,flirtation fun love cheerful happy
Laila O Laila,Sonu Nigam,Fiza,2000,happy,laila fun energetic dance cheerful happy
Bhai Bhai,Various,Naseeb,1997,happy,brothers fun family cheerful happy
Dil Le Gayi Kudi Gujarat Di,Various,Pardes,1997,happy,girl heart taken fun energetic happy
Yeh Raat,Sonu Nigam,Bazaab,2000,happy,night love fun cheerful happy
Dance Ka Bhoot,Arijit Singh,Brahmastra,2022,happy,dance ghost fun energetic cheerful happy
Bijlee Bijlee,Hardy Sandhu,Album,2021,happy,electricity fun energetic dance cheerful happy
Sauda Khara Khara,Various,Good Newwz,2019,happy,deal straight fun cheerful celebration happy
Nakhrewali,Various,Main Hoon Na,2004,happy,attitude girl fun cheerful happy playful
Tu Pyaar Hai,Udit Narayan,Criminal,1994,happy,you are love fun cheerful happy
Hai Rama,Various,Rangeela,1995,happy,oh god fun playful cheerful happy
Tanha Tanha,Various,Rangeela,1995,happy,alone together fun cheerful happy dance
Yaaron Dosti,KK,Kuch Kuch Hota Hai,1998,happy,friends friendship fun cheerful happy
Ek Rishta,Various,Ek Rishta,2001,happy,relationship family fun cheerful happy
Pyaar Ki Kashti Mein,Various,Kaho Naa Pyaar Hai,2000,happy,boat of love fun cheerful happy
Zindagi Mein Aate Hain,Various,Kaho Naa Pyaar Hai,2000,happy,life come love fun cheerful happy
Mujhe Dil Se Na Bhulo,Various,Agni Sakshi,1996,sad,from heart not forget love pain sad
Suno Na Suno,Kavita Krishnamurthy,Kuch Kuch Hota Hai,1998,sad,listen love pain separation sad
Main Khiladi Tu Anadi,Various,Main Khiladi Tu Anadi,1994,happy,player innocent fun cheerful happy
Raju Ban Gaya Gentleman,Various,Raju Ban Gaya Gentleman,1992,happy,gentleman fun cheerful happy rise
Didi,Various,Yaaron Ki Baraat,1998,happy,sister fun family cheerful happy
Aye Aye Aye,Various,Sir,1993,happy,fun exclamation cheerful happy dance
Woh Kaun Tha,Various,Woh Kaun Tha,1964,sad,who was that mystery sad eerie longing
Bhool Gaya Sab Kuch,Kishore Kumar,Jheel Ke Us Paar,1973,sad,forgot everything love pain sad loss
Aap Ki Ankhon Mein,Kishore Kumar,Ghar,1978,romantic,your eyes love beautiful feelings romance
Tu Is Tarah Se,Asha Bhosle,Thodi Si Bewafai,1980,sad,this way love pain betrayal sad
Baat Nahi Karni,Various,Bin Bulaye Baraati,1982,happy,not talking fun humorous cheerful happy
Mere Angne Mein,Various,Laawaris,1981,happy,my courtyard fun family celebration happy
Aaj Meri Jeet,Various,Various,1995,happy,today my victory celebration happy achievement
Pyar Karne Wale,Kumar Sanu,Shaan,1980,happy,those who love fun cheerful happy
Kabhi Haan Kabhi Naa,Udit Narayan,Kabhi Haan Kabhi Naa,1994,sad,sometimes yes sometimes no love uncertainty sad
Ek Ladki Ko Dekha Sad,Kumar Sanu,1942 A Love Story,1994,sad,girl seen love pain longing sad
Akele Hain To Kya,Various,Qayamat Se Qayamat Tak,1988,sad,alone so what love pain sad heartbreak
Papa Kehte Hain,Udit Narayan,Qayamat Se Qayamat Tak,1988,happy,father says dream achieve fun cheerful
Ae Mere Humsafar Sad,Udit Narayan,Baazigar,1993,sad,companion love pain separation sad
Aye Mere Humsafar Return,Various,Qayamat Se Qayamat Tak,1988,romantic,companion come love beautiful romance
Is Mod Se Jaate Hain,Lata Mangeshkar,Aandhi,1975,sad,from this turn going separation sad loss
Raina Beeti Jaye Sad,Lata Mangeshkar,Amar Prem,1972,sad,night passing love pain sad
Hum Tumse Juda Hokar,Lata Mangeshkar,Deewar,1975,sad,separated from you love pain sad
Kya Tujhe Ab,Various,MSGun,1970,sad,what now love pain sad longing
Yeh Galiyan Yeh Chaubaara,Various,Prem Rog,1982,sad,these lanes love memories sad nostalgia
Ek Hasina Thi,Kishore Kumar,Karz,1980,sad,a beautiful girl was there love pain sad
Main Pal Do Pal Ka Shayar,Mukesh,Kabhie Kabhie,1976,sad,moment poet love pain sad
Kabhie Kabhie Mere Dil Mein,Mukesh,Kabhie Kabhie,1976,sad,sometimes my heart love pain romantic sad
Dil Ke Armaan,Various,Nikaah,1982,sad,hearts desires love pain unfulfilled sad
Mera Kuch Samaan,Asha Bhosle,Ijaazat,1987,sad,my stuff love pain memories leaving sad
Katra Katra,Asha Bhosle,Ijaazat,1987,sad,drop by drop love pain waiting sad
Chitthi Aayi Hai,Pankaj Udhas,Naam,1986,sad,letter came far home missing sad
Na Jaane Kyun,Lata Mangeshkar,Chhoti Si Baat,1975,sad,don't know why love pain sadness melancholy
Tujhse Naraz Nahin Zindagi,Various,Masoom,1983,sad,not angry life love pain gentle sad
Dil Dhoondta Hai,Bhupinder Singh,Mausam,1975,sad,heart searching love pain longing sad
Hazaar Rahen,Various,Thodi Si Bewafai,1980,sad,thousand roads love pain lost sad
Yeh Kahan Aa Gaye Hum,Lata Mangeshkar,Silsila,1981,sad,where did we come love pain lost sad
Rang Barse,Amitabh Bachchan,Silsila,1981,happy,colors pour celebration holi fun happy
Neela Aasman,Various,Silsila,1981,romantic,blue sky love beautiful feelings romance
Do Lafzon Ki Hai,Lata Mangeshkar,The Great Gambler,1979,romantic,two words love beautiful feelings romance
Mere Desh Ki Dharti,Mahendra Kapoor,Upkar,1967,motivational,my land nation pride love achievement
Hum Honge Kamyab,Various,Classic,1980,motivational,we will succeed determination achieve dream
Sare Jahan Se Accha,Various,Classic,1904,motivational,best world nation pride love achievement
Jana Gana Mana,Various,National Anthem,1950,motivational,nation pride unity achievement rise
Vande Mataram,AR Rahman,Maa Tujhhe Salaam,1997,motivational,salute mother nation pride achievement
Apna Time Aayega,Divine,Gully Boy,2019,motivational,own time coming achieve rise dream
Meri Gully Mein,Divine,Gully Boy,2019,motivational,my lane rise from bottom achieve dream
Asli Hip Hop,Spitfire,Gully Boy,2019,motivational,real hip hop rise authentic achieve
Doori,Various,Gully Boy,2019,motivational,distance rise achieve overcome hardship
Azadi Gully,Various,Gully Boy,2019,motivational,freedom achieve rise fight system
Mere Gully Mein Rise,Naezy,Gully Boy,2019,motivational,my lane rise achieve fight overcome
Tu Kisi Rail Si,Mohit Chauhan,Dil Dhadakne Do,2015,sad,you like train passing by separation sad longing
Jiya Re,Shilpa Rao,Jab Tak Hai Jaan,2012,happy,heart living fun joy happy celebration
Ishqyaun Dhishqyaun,Aditi Paul,Goliyon Ki Raasleela,2013,happy,love fun quirky cheerful happy dance
Ramchandra Keh Gaye,Various,Classic,1950,motivational,Ramchandra said guidance wisdom achieve rise
Mann Kasturi Re,Various,Album,1985,relaxed,heart musk scent calm serene gentle
Sunle Jara,Various,Album,2016,relaxed,listen a bit calm gentle serene
Yeh Vaada Raha,Asha Bhosle,Yeh Vaada Raha,1982,romantic,this promise love beautiful devotion romance
Humko Humise Chura Lo,Various,Mohabbatein,2000,romantic,steal us from ourselves love beautiful romance
Mohabbatein Lutaata,Various,Mohabbatein,2000,romantic,showering love beautiful feelings romance
Pairon Mein Bandhan Hai,Kavita Krishnamurthy,Mohabbatein,2000,romantic,feet bound love beautiful romance feelings
Aankhein Khuli,Various,Mohabbatein,2000,romantic,eyes open love beautiful discovery romance
Guru Randhawa Tu Mera,Guru Randhawa,Album,2018,happy,you mine love cheerful fun happy
High Rated Gabru,Guru Randhawa,Album,2017,happy,high rated guy fun confident happy energetic
Slowly Slowly,Guru Randhawa,Album,2018,happy,slowly love fun cheerful happy playful
Lahore,Guru Randhawa,Album,2017,happy,Lahore city fun cheerful happy energetic
Made In India,Guru Randhawa,Album,2018,happy,made in India proud fun cheerful happy
Ban Ja Rani,Guru Randhawa,Tumhari Sulu,2017,happy,become queen love fun cheerful happy
Ishare Tere,Guru Randhawa,Care Of Footpath,2018,happy,signals yours fun flirt cheerful happy
Naah,Harrdy Sandhu,Album,2017,happy,no fun confident cheerful happy energetic
Backbone,Harrdy Sandhu,Album,2017,happy,backbone strong fun confident cheerful happy
Horn Blow,Harrdy Sandhu,Album,2016,happy,horn blow fun party energetic cheerful happy
Tere Naal Nachna,Badshah,Nawabzaade,2018,happy,dance with you fun energetic cheerful happy
Paani Paani,Badshah,Album,2021,happy,water fun energetic cheerful dance happy
Chamkeela Ankhiyon Wala,Shreya Ghoshal,Yodha,2024,romantic,bright eyes love beautiful attraction romance
Lut Gaye,Jubin Nautiyal,Album,2021,romantic,looted love beautiful yearning romance feelings
Teri Aankhein,Darshan Raval,Album,2020,romantic,your eyes love beautiful deep romance feelings
Kya Mujhe Pyaar Hai,KK,Woh Lamhe,2006,romantic,is this love confused beautiful feelings romance
Tujhe Dekha To,Kumar Sanu,Dilwale Dulhania Le Jayenge,1995,romantic,saw you love beautiful feelings romance
Mere Haath Mein,Udit Narayan,Fanaa,2006,romantic,in my hand love beautiful together romance
Yeh Ishq Haaye,Shreya Ghoshal,Jab We Met,2007,romantic,this love beautiful intense feelings romance
Nagme,AR Rahman,Rang De Basanti,2006,relaxed,poems calm gentle soothing serene
Mastam Mastam,Various,Jodhaa Akbar,2008,relaxed,intoxicated love calm serene gentle
Kehne Ko Humsafar Hain,Various,Kehne Ko Humsafar Hain,2018,sad,companions in name only love pain sad
Bewafa,Imran Khan,Album,2009,sad,unfaithful love pain betrayal sad heartbreak
Jinhe Naaz Hai,Various,Pyaasa,1957,angry,pride defiance social anger criticism
Yeh Duniya Agar Mil Bhi Jaye,Mohammad Rafi,Pyaasa,1957,angry,world given defiance rejection angry
Mein Pal Do Pal Ka Shayar,Mukesh,Kabhie Kabhie,1976,sad,moment poet love pain melancholy sad
Ek Ajnabee Haseena Se,Kishore Kumar,Ajnabee,1974,romantic,stranger beautiful love attraction romance
O Mere Dil,Kishore Kumar,Mere Jeevan Saathi,1972,romantic,oh my heart love beautiful feelings romance
Ae Dil Mujhe Bata De,Rafi,Baat Ek Raat Ki,1962,romantic,oh heart tell me love beautiful feelings
Teri Pyari Pyari Do Ankhiyan,Various,Dost,1974,romantic,two lovely eyes love beautiful attraction
Saathi Re,Kishore Kumar,Aradhana,1969,romantic,companion love beautiful together forever romance
Teri Galiyon Mein,Various,Bhola Bhala,1978,romantic,your lanes love beautiful yearning romance
Aap Yahan Aaye Kisliye,Various,Kudrat,1981,romantic,why did you come love beautiful question romance
Teri Chahat Ke Deewane,Kumar Sanu,Various,1995,romantic,crazy for your love beautiful feelings romance
Teri Ummeed Tera Intezaar,Kumar Sanu,Deewana,1992,romantic,your hope your wait love beautiful romance
Jab Koi Baat Bigad Jaye Romantic,Jurm,Various,1989,romantic,when problem love resolve beautiful romance
Dil Ke Jharokhe Mein Romance,Kishore Kumar,Brahmacharya,1968,romantic,window heart love beautiful feelings romance
Bahon Mein Chale Aao,Lata Mangeshkar,Anamika,1973,romantic,come into arms love beautiful embrace romance
Aap Ki Nazron Ne Samjha,Lata Mangeshkar,Anpadh,1962,romantic,your gaze understood love beautiful romance
Pyar Diwana Hota Hai,Kishore Kumar,Kati Patang,1971,romantic,love is crazy beautiful feelings romance
Ek Pyaar Ka Nagma Hai Romantic,Mukesh,Shor,1972,romantic,love song beautiful feelings romance calm
Ek Villain Title,Arijit Singh,Ek Villain,2014,angry,villain dark intense fierce angry
Rocky Handsome Theme,Various,Rocky Handsome,2016,angry,rocky fighter intense fierce angry power
Warrior Theme,Various,War,2019,angry,warrior fight power intense fierce strong
Hera Pheri Theme,Various,Hera Pheri,2000,angry,con scheme intense power fight
Munna Bhai Theme,Various,Munna Bhai MBBS,2003,angry,street smart power fight intense
Wanted Theme,Various,Wanted,2009,angry,wanted outlaw fierce power intense fight
Dabangg Theme,Sajid Wajid,Dabangg,2010,angry,fearless police power intense strong fight
Dabbang Hero,Various,Dabangg,2010,angry,hero power fight fearless intense strong
Gangs Of Wasseypur Theme,Various,Gangs of Wasseypur,2012,angry,gang revenge power intense fight fierce
Mirzapur Theme,Various,Mirzapur,2018,angry,territory power fight intense fierce strong
Sacred Games Theme,Various,Sacred Games,2018,angry,dark power intense fierce urban angry
Paan Singh Tomar,Various,Paan Singh Tomar,2012,angry,rebel outlaw fierce intense power strong
Bandit Queen Theme,Various,Bandit Queen,1994,angry,rebel woman fierce power fight intense
Sarkar Theme,Various,Sarkar,2005,angry,power rule fierce intense dominant strong
Talaash Theme,Sonu Nigam,Talaash,2012,angry,search dark intense power brooding angry
Bard Of Blood,Various,Bard of Blood,2019,angry,dark spy intense fierce power strong
Shootout Theme,Various,Shootout at Lokhandwala,2007,angry,shootout intense fierce fight power
Mumbai Meri Jaan Theme,Various,Mumbai Meri Jaan,2008,angry,city struggle intense fierce power angry
Black Theme,Various,Black,2005,angry,dark struggle intense fierce overcome power
1920 Horror Theme,Various,1920,2008,angry,dark intense horror fierce power angry
Raat Ka Nasha,Udit Narayan,Asoka,2001,relaxed,night intoxication calm serene gentle
Hawa Hawa,Shafqat Amanat Ali,Meri Pyaari Bindu,2017,relaxed,breeze calm light gentle serene peaceful
Tum Ho,Mohit Chauhan,Rockstar,2011,relaxed,you are calm love gentle serene peaceful
Jee Le Zaraa,Various,Talaash,2012,relaxed,live a little calm gentle serene peaceful
Sajdaa,Various,My Name Is Khan,2010,relaxed,prostration faith calm gentle serene spiritual
Khwaja Mere Khwaja,AR Rahman,Jodhaa Akbar,2008,relaxed,sufi devotion calm spiritual serene gentle
Arziyan,Javed Ali,Delhi 6,2009,relaxed,prayers devotion calm spiritual serene gentle
Tu Kuja,Various,Haider,2014,relaxed,where you calm spiritual serene gentle peaceful
Kun Faya Kun,AR Rahman,Rockstar,2011,relaxed,be and it is sufi calm spiritual serene
Dama Dam Mast Qalandar,Abida Parveen,Album,1998,relaxed,sufi ecstasy calm devotion spiritual serene
Allah Ke Bande,Kailash Kher,Waisa Bhi Hota Hai Part 2,2003,relaxed,god devotee calm spiritual serene gentle
Ya Ali,Zubeen Garg,Gangster,2006,relaxed,ya ali devotion calm spiritual serene gentle
Teri Deewani Relax,Kailash Kher,Album,2006,relaxed,devotion calm gentle spiritual serene peaceful
Man Laage,Various,Bajrangi Bhaijaan,2015,relaxed,mind absorbed calm devotion spiritual serene
Bhar Do Jholi Relax,Adnan Sami,Bajrangi Bhaijaan,2015,relaxed,fill devotion calm spiritual serene gentle
Ek Onkar,AR Rahman,Rang De Basanti,2006,relaxed,one god calm spiritual serene gentle devotion
Raghupati Raghava,Various,Classic,1930,relaxed,god Ram calm devotion spiritual serene gentle
Om Jai Jagdish,Various,Classic,1948,relaxed,praise god calm devotion spiritual serene gentle
Vaishnav Jan To,Various,Classic,1934,relaxed,Vaishnava person calm devotion spiritual serene
Ae Malik Tere Bande Hum,Various,Do Ankhen Barah Haath,1957,relaxed,god people calm devotion spiritual serene
Itni Shakti Hame Dena,Various,Ankush,1986,relaxed,give strength god calm devotion spiritual serene
Payoji Maine,Various,Album,1996,relaxed,found god calm devotion spiritual serene
Hari Om Hari,Usha Uthup,Pyaara Dushman,1980,relaxed,god chant calm devotion spiritual serene
Chalo Bulawa Aaya Hai,Pushpa Pagdhare,Avtaar,1983,relaxed,come called god calm devotion spiritual serene
Jyot Se Jyot,Various,Sant Tukaram,1963,relaxed,light from light calm devotion spiritual serene
Sankat Mochan,Various,Classic,1977,relaxed,remover of problems calm devotion spiritual serene
